,date,close,,,,,,,,,,
,"May 1, 2012",582.13,,,,,,,,,,
,"Apr 30, 2012",583.98,,,,,,,,,,
,"Apr 27, 2012",603.00,,,,,,,,,,
,"Apr 26, 2012",607.70,,,,,,,,,,
,"Apr 25, 2012",610.00,,,,,,,,,,
,"Apr 24, 2012",560.28,,,,,,,,,,
,"Apr 23, 2012",571.70,,,,,,,,,,
,"Apr 20, 2012",572.98,,,,,,,,,,
,"Apr 19, 2012",587.44,,,,,,,,,,
,"Apr 18, 2012",608.34,,,,,,,,,,
,"Apr 17, 2012",609.70,,,,,,,,,,
,"Apr 16, 2012",580.13,,,,,,,,,,
,"Apr 13, 2012",605.23,,,,,,,,,,
,"Apr 12, 2012",622.77,,,,,,,,,,
,"Apr 11, 2012",626.20,,,,,,,,,,
,"Apr 10, 2012",628.44,,,,,,,,,,
,"Apr 9, 2012",636.23,,,,,,,,,,
,"Apr 5, 2012",633.68,,,,,,,,,,
,"Apr 4, 2012",624.31,,,,,,,,,,
,"Apr 3, 2012",629.32,,,,,,,,,,
,"Apr 2, 2012",618.63,,,,,,,,,,
,"Mar 30, 2012",599.55,,,,,,,,,,
,"Mar 29, 2012",609.86,,,,,,,,,,
,"Mar 28, 2012",617.62,,,,,,,,,,
,"Mar 27, 2012",614.48,,,,,,,,,,
,"Mar 26, 2012",606.98,,,,,,,,,,
,"Mar 23, 2012",596.05,,,,,,,,,,
,"Mar 22, 2012",599.34,,,,,,,,,,
,"Mar 21, 2012",602.50,,,,,,,,,,
,"Mar 20, 2012",605.96,,,,,,,,,,
,"Mar 19, 2012",601.10,,,,,,,,,,
,"Mar 16, 2012",585.57,,,,,,,,,,
,"Mar 15, 2012",585.56,,,,,,,,,,
,"Mar 14, 2012",589.58,,,,,,,,,,
,"Mar 13, 2012",568.10,,,,,,,,,,
,"Mar 12, 2012",552.00,,,,,,,,,,
,"Mar 9, 2012",545.17,,,,,,,,,,
,"Mar 8, 2012",541.99,,,,,,,,,,
,"Mar 7, 2012",530.69,,,,,,,,,,
,"Mar 6, 2012",530.26,,,,,,,,,,
,"Mar 5, 2012",533.16,,,,,,,,,,
,"Mar 2, 2012",545.18,,,,,,,,,,
,"Mar 1, 2012",544.47,,,,,,,,,,
,"Feb 29, 2012",542.44,,,,,,,,,,
,"Feb 28, 2012",535.41,,,,,,,,,,
,"Feb 27, 2012",525.76,,,,,,,,,,
,"Feb 24, 2012",522.41,,,,,,,,,,
,"Feb 23, 2012",516.39,,,,,,,,,,
,"Feb 22, 2012",513.04,,,,,,,,,,
,"Feb 21, 2012",514.85,,,,,,,,,,
,"Feb 17, 2012",502.12,,,,,,,,,,
,"Feb 16, 2012",502.21,,,,,,,,,,
,"Feb 15, 2012",497.67,,,,,,,,,,
,"Feb 14, 2012",509.46,,,,,,,,,,
,"Feb 13, 2012",502.60,,,,,,,,,,
,"Feb 10, 2012",493.42,,,,,,,,,,
,"Feb 9, 2012",493.17,,,,,,,,,,
,"Feb 8, 2012",476.68,,,,,,,,,,
,"Feb 7, 2012",468.83,,,,,,,,,,
,"Feb 6, 2012",463.97,,,,,,,,,,
,"Feb 3, 2012",459.68,,,,,,,,,,
,"Feb 2, 2012",455.12,,,,,,,,,,
,"Feb 1, 2012",456.19,,,,,,,,,,
,"Jan 31, 2012",456.48,,,,,,,,,,
,"Jan 30, 2012",453.01,,,,,,,,,,
,"Jan 27, 2012",447.28,,,,,,,,,,
,"Jan 26, 2012",444.63,,,,,,,,,,
,"Jan 25, 2012",446.66,,,,,,,,,,
,"Jan 24, 2012",420.41,,,,,,,,,,
,"Jan 23, 2012",427.41,,,,,,,,,,
,"Jan 20, 2012",420.30,,,,,,,,,,
,"Jan 19, 2012",427.75,,,,,,,,,,
,"Jan 18, 2012",429.11,,,,,,,,,,
,"Jan 17, 2012",424.70,,,,,,,,,,
,"Jan 13, 2012",419.81,,,,,,,,,,
,"Jan 12, 2012",421.39,,,,,,,,,,
,"Jan 11, 2012",422.55,,,,,,,,,,
,"Jan 10, 2012",423.24,,,,,,,,,,
,"Jan 9, 2012",421.73,,,,,,,,,,
,"Jan 6, 2012",422.40,,,,,,,,,,
,"Jan 5, 2012",418.03,,,,,,,,,,
,"Jan 4, 2012",413.44,,,,,,,,,,
,"Jan 3, 2012",411.23,,,,,,,,,,
,"Dec 30, 2011",405.00,,,,,,,,,,
,"Dec 29, 2011",405.12,,,,,,,,,,
,"Dec 28, 2011",402.64,,,,,,,,,,
,"Dec 27, 2011",406.53,,,,,,,,,,
,"Dec 23, 2011",403.43,,,,,,,,,,
,"Dec 22, 2011",398.55,,,,,,,,,,
,"Dec 21, 2011",396.44,,,,,,,,,,
,"Dec 20, 2011",395.95,,,,,,,,,,
,"Dec 19, 2011",382.21,,,,,,,,,,
,"Dec 16, 2011",381.02,,,,,,,,,,
,"Dec 15, 2011",378.94,,,,,,,,,,
,"Dec 14, 2011",380.19,,,,,,,,,,
,"Dec 13, 2011",388.81,,,,,,,,,,
,"Dec 12, 2011",391.84,,,,,,,,,,
,"Dec 9, 2011",393.62,,,,,,,,,,
,"Dec 8, 2011",390.66,,,,,,,,,,
